CustomerID,LoanID,ApplicantType,Age,EmploymentType,AnnualIncome,MonthlyIncome,LoanType,LoanAmount,LoanTenureMonths,InterestRate,CollateralValue,CreditScore,PastDefaults,NumOpenAccounts,BusinessRevenue,ProfitMargin,BusinessYears,ProbDefault
CUST200084,LN300084,Business,57,Business-owner,10675920,889660,Business Expansion,13798324,48,19.15,8131526,451,2,8,16217284.82,44.96,26.0,0.537
CUST200054,LN300054,Personal,34,Self-employed,9595717,799643,Debt Consolidation,4454315,12,17.99,8121485,691,0,0,,,,0.678
CUST200071,LN300071,Business,22,Business-owner,5467059,455588,Business Expansion,1065851,36,21.31,18211946,813,2,9,17692572.6,43.69,13.0,0.235
CUST200046,LN300046,Personal,62,Unemployed,2078173,173181,Wedding,5878204,36,16.12,1490017,445,0,1,,,,0.0
CUST200045,LN300045,Personal,22,Unemployed,1650889,137574,Car,7393372,36,16.56,13322450,565,0,2,,,,0.0
CUST200040,LN300040,Personal,61,Unemployed,5730352,477529,Home,11934970,12,13.57,16836994,472,0,1,,,,0.529
CUST200023,LN300023,Personal,55,Self-employed,1845524,153793,Car,1270632,48,12.01,17686927,634,1,7,,,,0.0
CUST200081,LN300081,Business,52,Self-employed,2093338,174444,Equipment Finance,11486986,48,10.43,4261663,672,0,7,13401480.07,47.91,15.0,0.0
CUST200011,LN300011,Personal,51,Self-employed,3457778,288148,Personal,10938642,48,15.97,7726890,657,0,9,,,,0.063
CUST200001,LN300001,Personal,59,Unemployed,6503388,541949,Car,6570634,60,16.86,2234489,841,0,7,,,,0.007
CUST200019,LN300019,Personal,69,Self-employed,9789175,815764,Wedding,4240459,48,21.28,14829445,625,0,1,,,,0.778
CUST200031,LN300031,Personal,61,Salaried,1452070,121005,Wedding,10839329,120,17.67,10930625,640,0,2,,,,0.587
CUST200074,LN300074,Business,45,Self-employed,4669369,389114,Business Expansion,6641778,12,8.77,6902066,483,0,4,9822158.98,-19.73,18.0,0.0
CUST200034,LN300034,Personal,33,Unemployed,8371860,697655,Car,10093140,36,17.7,1472542,711,1,9,,,,0.0
CUST200091,LN300091,Business,42,Business-owner,5463182,455265,Equipment Finance,12130601,12,23.43,5792819,402,0,9,10673901.44,37.98,18.0,0.562
